match-id,player_team,player_name,player_batting_total_fours,player_batting_total_sixes,player_batting_played_balls,player_bowling_dot_balls,match-name,match-result,player_name_with_title,on-field-umpires1,on-field-umpires2,on-field-umpires3,player_batting_out_details,player_bowling_overs,player_role,player_batting_runs,player_bowling_runs,venue,player_bowling_wickets
2008-Match_1,Royal Challengers Bangalore,Sunil Joshi,0,0,6,4,Royal Challengers Bangalore VS Kolkata Knight Riders,,Sunil Joshi,,,,c Brendon Mccullum b Laxmi Ratan Shukla,3,,3,26,M. Chinnaswamy Stadium,0
2008-Match_1,Royal Challengers Bangalore,Virat Kohli,0,0,5,,Royal Challengers Bangalore VS Kolkata Knight Riders,,Virat Kohli,,,,b Ashok Dinda,,,1,,M. Chinnaswamy Stadium,
2008-Match_1,Royal Challengers Bangalore,Wasim Jaffer,0,0,16,,Royal Challengers Bangalore VS Kolkata Knight Riders,,Wasim Jaffer,,,,c Ricky Ponting b Ishant Sharma,,,6,,M. Chinnaswamy Stadium,
2008-Match_1,Royal Challengers Bangalore,Zaheer Khan,0,0,8,8,Royal Challengers Bangalore VS Kolkata Knight Riders,,Zaheer Khan,,,,b Sourav Ganguly,4,,3,38,M. Chinnaswamy Stadium,1
2008-Match_10,Mumbai Indians,Abhishek Nayar,0,0,3,,Punjab Kings VS Mumbai Indians,,Abhishek Nayar,,,,c Piyush Chawla b Irfan Pathan,,,2,,IS Bindra Stadium,
2008-Match_10,Mumbai Indians,Ashish Nehra,0,0,10,7,Punjab Kings VS Mumbai Indians,,Ashish Nehra,,,,not out,3,,2,22,IS Bindra Stadium,2
2008-Match_10,Mumbai Indians,Dhawal Kulkarni,0,0,16,10,Punjab Kings VS Mumbai Indians,,Dhawal Kulkarni,,,,not out,4,,2,37,IS Bindra Stadium,2
2008-Match_10,Mumbai Indians,Dwayne Bravo,4,0,21,6,Punjab Kings VS Mumbai Indians,,Dwayne Bravo,,,,b Piyush Chawla,3,,23,27,IS Bindra Stadium,0
2008-Match_10,Mumbai Indians,Harbhajan Singh,0,0,1,9,Punjab Kings VS Mumbai Indians,,Harbhajan Singh (captain),,,,lbw Irfan Pathan,4,,0,32,IS Bindra Stadium,3
2008-Match_10,Mumbai Indians,Luke Ronchi,1,1,8,,Punjab Kings VS Mumbai Indians,,Luke Ronchi (wicket keeper),,,,run out (Brett Lee),,,11,,IS Bindra Stadium,
2008-Match_10,Mumbai Indians,Musavir Khote,1,0,7,2,Punjab Kings VS Mumbai Indians,,Musavir Khote,,,,Hit Wicket b Sreesanth,2,,8,22,IS Bindra Stadium,0
2008-Match_10,Mumbai Indians,Robin Uthappa,2,1,18,,Punjab Kings VS Mumbai Indians,,Robin Uthappa,,,,c Ramnaresh Sarwan b Vikram Singh,,,21,,IS Bindra Stadium,
2008-Match_10,Mumbai Indians,Sanath Jayasuriya,0,0,7,,Punjab Kings VS Mumbai Indians,,Sanath Jayasuriya,,,,c & b Brett Lee,,,1,,IS Bindra Stadium,
2008-Match_10,Mumbai Indians,Saurabh Tiwary,2,1,10,,Punjab Kings VS Mumbai Indians,,Saurabh Tiwary,,,,b Piyush Chawla,,,17,,IS Bindra Stadium,
2008-Match_10,Mumbai Indians,Shaun Pollock,2,1,21,8,Punjab Kings VS Mumbai Indians,,Shaun Pollock,,,,c Yuvraj Singh b Shanthakumaran Sreesanth,4,,22,40,IS Bindra Stadium,1
2008-Match_10,Punjab Kings,Brett Lee,2,1,8,18,Punjab Kings VS Mumbai Indians,,Brett Lee,,,,not out,4,,16,9,IS Bindra Stadium,1
2008-Match_10,Punjab Kings,Irfan Pathan,1,0,3,15,Punjab Kings VS Mumbai Indians,,Irfan Pathan,,,,c Dhawal Kulkarni b Ashish Nehra,4,,6,19,IS Bindra Stadium,2
2008-Match_10,Punjab Kings,Karan Goel,1,1,21,,Punjab Kings VS Mumbai Indians,,Karan Goel,,,,run out (Dwayne Bravo/luke Ronchi),,,18,,IS Bindra Stadium,
2008-Match_10,Punjab Kings,Kumar Sangakkara,13,1,56,,Punjab Kings VS Mumbai Indians,,Kumar Sangakkara (wicket keeper),,,,c Dhawal Kulkarni b Harbhajan Singh,,,94,,IS Bindra Stadium,
2008-Match_10,Punjab Kings,Mahela Jayawardene,0,1,7,,Punjab Kings VS Mumbai Indians,,Mahela Jayawardene,,,,c Ashish Nehra b Harbhajan Singh,,,12,,IS Bindra Stadium,
2008-Match_10,Punjab Kings,Piyush Chawla,0,0,1,15,Punjab Kings VS Mumbai Indians,,Piyush Chawla,,,,lbw Harbhajan Singh,4,,0,16,IS Bindra Stadium,2
2008-Match_10,Punjab Kings,Ramnaresh Sarwan,0,0,9,,Punjab Kings VS Mumbai Indians,,Ramnaresh Sarwan,,,,c Harbhajan Singh b Ashish Nehra,,,7,,IS Bindra Stadium,
2008-Match_10,Punjab Kings,Shanthakumaran Sreesanth,0,0,1,12,Punjab Kings VS Mumbai Indians,,Shanthakumaran Sreesanth,,,,c Luke Ronchi b Dhawal Kulkarni,4,,0,31,IS Bindra Stadium,2
2008-Match_10,Punjab Kings,Sunny Sohal,0,0,4,,Punjab Kings VS Mumbai Indians,,Sunny Sohal,,,,c Ashish Nehra b Dhawal Kulkarni,,,0,,IS Bindra Stadium,
2008-Match_10,Punjab Kings,Vikram Singh,1,0,2,10,Punjab Kings VS Mumbai Indians,,Vikram Singh,,,,run out (Harbhajan Singh/luke Ronchi),4,,4,40,IS Bindra Stadium,1
2008-Match_10,Punjab Kings,Yuvraj Singh,1,1,9,,Punjab Kings VS Mumbai Indians,,Yuvraj Singh (captain),,,,c Dwayne Bravo b Shaun Pollock,,,18,,IS Bindra Stadium,
2008-Match_11,Chennai Super Kings,Jacob Oram,,,,9,Chennai Super Kings VS Kolkata Knight Riders,,Jacob Oram,,,,,4,,,32,M. A. Chidambaram Stadium,3
2008-Match_11,Chennai Super Kings,Joginder Sharma,,,,7,Chennai Super Kings VS Kolkata Knight Riders,,Joginder Sharma,,,,,4,,,32,M. A. Chidambaram Stadium,1
2008-Match_11,Chennai Super Kings,Manpreet Gony,,,,9,Chennai Super Kings VS Kolkata Knight Riders,,Manpreet Gony,,,,,4,,,40,M. A. Chidambaram Stadium,2
2008-Match_11,Chennai Super Kings,Matthew Hayden,6,3,49,,Chennai Super Kings VS Kolkata Knight Riders,,Matthew Hayden,,,,not out,,,70,,M. A. Chidambaram Stadium,
2008-Match_11,Chennai Super Kings,Michael Hussey,,,,,Chennai Super Kings VS Kolkata Knight Riders,,Michael Hussey,,,,,,,,,M. A. Chidambaram Stadium,
2008-Match_11,Chennai Super Kings,Ms Dhoni,3,2,27,,Chennai Super Kings VS Kolkata Knight Riders,,Ms Dhoni (captain)(wicket keeper),,,,not out,,,43,,M. A. Chidambaram Stadium,
2008-Match_11,Chennai Super Kings,Muttiah Muralitharan,,,,15,Chennai Super Kings VS Kolkata Knight Riders,,Muttiah Muralitharan,,,,,4,,,12,M. A. Chidambaram Stadium,0
